market,ticker,name,sector,exchange,date,year,window_len,raw,z,avg_daily_value,fwd_3m,excess_3m,fwd_6m,excess_6m,momentum_6m,up1_conf,up1_fwd6m,up1_exc6m,up1_fwd3m,up1_exc3m,up1_days,confirmed_conf,confirmed_fwd6m,confirmed_exc6m,confirmed_fwd3m,confirmed_exc3m,confirmed_days,confirmed_fwd15d,confirmed_exc15d,confirmed_fwd21d,confirmed_exc21d,confirmed_fwd30d,confirmed_exc30d,confirmed_fwd42d,confirmed_exc42d,pre_drop_target_ret,mfe,recovered,days_to_recover,r_target,hold_target,r_trail,hold_trail,r_sl5,hold_sl5,r_sl8,hold_sl8,r_sl10,hold_sl10,r_sl12,hold_sl12,r_sl25,hold_sl25,r_sl30,hold_sl30,ce_trail,ce_trail_exc,ce_te15,ce_te15_exc,ce_te21,ce_te21_exc,ce_te30,ce_te30_exc,ce_te42,ce_te42_exc,ce_rec_days,profitable,roe,de,market_cap,earnings_yield,ey_minus_bond,npat_margin,fcf_margin,rev_growth,eps_growth,div_yield,insider_buy_n,insider_sell_n,insider_buy_val,insider_sell_val,insider_net_val,director_buy,director_sell,director_buy_val,insider_signal
US,OPK,Opko Health Inc,Healthcare,US-SF,2022-01-24,2022,1,-0.2382,-7.096,18143978.0,-0.0774,-0.0515,-0.2663,-0.1554,0.1648,True,-0.1797,-0.109,-0.0847,-0.0171,4.0,True,-0.1797,-0.109,-0.0847,-0.0171,4.0,0.0678,0.0865,0.0475,0.0758,0.0339,0.0923,0.2,0.1615,0.3127,0.161,False,,-0.0774,63.0,-0.0774,63.0,-0.0681,1.0,-0.0991,2.0,-0.1115,3.0,-0.0774,63.0,-0.0774,63.0,-0.0774,63.0,-0.0847,-0.0171,0.0678,0.0865,0.0475,0.0758,0.0339,0.0923,0.2,0.1615,-1.0,True,0.0183,0.1499,2438947987.0,0.0125,-0.0048,0.0213,0.004,0.239,,,18,0,715587.21,0.0,715587.21,True,False,715587.21,buy
US,ORLY,O’Reilly Automotive Inc,Consumer Cyclical,US-SF,2020-03-20,2020,5,-0.2555,-5.392,281484793.0,0.6006,0.2566,0.7587,0.3186,-0.1005,True,0.6433,0.2885,0.5425,0.2631,2.0,True,0.6433,0.2885,0.5425,0.2631,2.0,0.277,0.1397,0.3515,0.2083,0.4353,0.2714,0.4614,0.2538,0.3432,0.8297,True,16.0,0.3432,16.0,0.7587,126.0,0.6006,63.0,0.6006,63.0,0.6006,63.0,0.6006,63.0,0.6006,63.0,0.6006,63.0,0.6433,0.2885,0.6433,0.2885,0.6433,0.2885,0.6433,0.2885,0.6433,0.2885,14.0,True,3.5009,9.7914,14572788921.0,0.0955,0.0525,0.137,0.1064,0.0706,0.1928,,2,24,213385.0,89318723.98,-89105338.98,True,True,213385.0,sell
US,PYPL,PayPal Holdings Inc,Financial Services,US-SF,2022-02-02,2022,1,-0.2459,-9.706,3114873217.0,-0.3006,-0.2376,-0.2685,-0.1731,-0.3572,True,-0.2365,-0.1564,-0.3522,-0.2683,2.0,True,-0.1938,-0.111,-0.3886,-0.2464,5.0,-0.1757,-0.1269,-0.2145,-0.131,-0.056,-0.0414,-0.1068,-0.0687,0.3261,-0.049,False,,-0.3006,63.0,-0.3006,63.0,-0.0624,1.0,-0.0842,3.0,-0.1022,6.0,-0.1303,7.0,-0.2939,22.0,-0.3256,54.0,-0.3886,-0.2464,-0.1757,-0.1269,-0.2145,-0.131,-0.056,-0.0414,-0.1068,-0.0687,-1.0,True,0.2094,0.4775,115936624524.0,0.0362,0.0186,0.1959,0.2495,0.1833,0.2914,0.0,7,41,2786518.29,18526129.18,-15739610.89,True,True,2786518.29,sell
US,SFIX,Stitch Fix,Consumer Cyclical,US-SF,2020-03-10,2020,1,-0.2522,-8.035,52834516.0,0.4849,0.3721,0.6772,0.5212,0.1686,True,1.0324,0.8001,0.7677,0.6459,3.0,True,0.979,0.5673,0.7602,0.4618,6.0,-0.0497,-0.1965,0.0994,-0.0992,0.1239,-0.0905,0.4769,0.2451,0.3373,0.848,True,47.0,0.3373,47.0,0.4376,65.0,-0.1166,1.0,-0.1166,1.0,-0.1166,1.0,-0.2207,2.0,-0.2617,16.0,0.4849,63.0,0.5966,0.3448,-0.0497,-0.1965,0.0994,-0.0992,0.1239,-0.0905,0.5966,0.3448,41.0,True,0.0931,0.0,1876019735.0,0.0197,-0.0233,0.0234,0.0303,0.2927,0.0113,,2,67,3124520.0,20987428.67,-17862908.67,True,True,3124520.0,sell
US,SMCI,Super Micro Computer Inc,Technology,US-SF,2024-04-19,2024,1,-0.2314,-3.089,6794482083.0,0.1018,-0.0185,-0.3378,-0.5184,2.1101,True,-0.3334,-0.5017,0.0923,-0.0165,1.0,True,-0.3966,-0.5506,-0.066,-0.1363,2.0,0.0794,0.0447,0.1462,0.0996,0.0534,-0.0025,0.0855,0.0111,0.301,0.3345,True,18.0,0.301,18.0,0.2237,23.0,0.1018,63.0,0.1018,63.0,0.1018,63.0,0.1018,63.0,0.1018,63.0,0.1018,63.0,0.1462,0.0996,0.0794,0.0447,0.1462,0.0996,0.1462,0.0996,0.1462,0.0996,16.0,True,0.3245,0.1472,46164093572.0,0.0139,-0.0323,0.0898,0.088,0.1621,0.6473,,1,45,1136000.0,76092955.67,-74956955.67,True,True,1136000.0,sell
US,SSNC,SS&C Technologies Holdings Inc,Technology,US-SF,2020-03-18,2020,3,-0.237,-5.841,86150791.0,0.6858,0.3874,0.7842,0.3725,-0.1338,True,0.6083,0.215,0.5587,0.2657,1.0,True,0.5856,0.2309,0.4988,0.2194,4.0,0.2761,0.1388,0.3063,0.1631,0.4553,0.2914,0.4424,0.2348,0.3106,0.9092,True,13.0,0.3106,13.0,0.5481,39.0,0.6858,63.0,0.6858,63.0,0.6858,63.0,0.6858,63.0,0.6858,63.0,0.6858,63.0,0.3722,0.2199,0.3722,0.2199,0.3722,0.2199,0.3722,0.2199,0.3722,0.2199,9.0,True,0.0857,1.3984,7643012728.0,0.0574,0.0144,0.0946,0.2586,0.4326,0.173,0.0142,6,6,82558.24,35988073.75,-35905515.51,True,True,82558.24,sell
US,STRA,Strategic Education Inc,Consumer Defensive,US-SF,2011-01-10,2011,1,-0.2261,-7.708,34768816.0,0.1963,0.1532,0.1736,0.1391,-0.2648,True,0.1168,0.099,0.0139,-0.0083,2.0,True,0.1168,0.099,0.0139,-0.0083,2.0,-0.0321,-0.0486,0.0268,-0.0068,0.133,0.1067,0.1158,0.119,0.2921,0.2573,False,,0.1963,63.0,0.1963,63.0,0.1963,63.0,0.1963,63.0,0.1963,63.0,0.1963,63.0,0.1963,63.0,0.1963,63.0,0.0139,-0.0083,-0.0321,-0.0486,0.0268,-0.0068,0.133,0.1067,0.1158,0.119,-1.0,True,0.5536,0.0,1946066949.0,0.054,0.011,0.2052,0.2175,0.2282,0.224,0.0378,5,2,332411.77,4345964.0,-4013552.23,True,True,332411.77,sell
US,SUPN,Supernus Pharmaceuticals Inc,Healthcare,US-SF,2019-11-06,2019,1,-0.3158,-12.121,15896355.0,0.2007,0.1191,0.1591,0.2068,-0.1831,True,0.1021,0.1524,0.1262,0.0397,1.0,True,0.0566,0.1287,0.0797,-0.0059,2.0,0.0442,0.0375,0.0417,0.0289,0.1054,0.0631,0.1165,0.0608,0.4616,0.2388,False,,0.2007,63.0,0.2007,63.0,0.2007,63.0,0.2007,63.0,0.2007,63.0,0.2007,63.0,0.2007,63.0,0.2007,63.0,0.0797,-0.0059,0.0442,0.0375,0.0417,0.0289,0.1054,0.0631,0.1165,0.0608,-1.0,True,0.245,0.7273,1156731640.0,0.096,0.053,0.2714,0.3134,1.0246,0.4532,,1,0,190008.0,0.0,190008.0,True,False,190008.0,buy
US,SWKS,Skyworks Solutions Inc,Technology,US-SF,2025-04-08,2025,4,-0.2407,-3.761,232478070.0,0.5949,0.3345,0.5766,0.2212,-0.3317,True,0.2455,0.0112,0.2638,0.1166,1.0,True,0.2455,0.0112,0.2638,0.1166,1.0,0.0823,0.0553,0.1317,0.0945,0.1674,0.0968,0.2559,0.1492,0.3171,0.719,True,16.0,0.3171,16.0,0.482,68.0,0.5949,63.0,0.5949,63.0,0.5949,63.0,0.5949,63.0,0.5949,63.0,0.5949,63.0,0.2098,0.0558,0.2098,0.0558,0.2098,0.0558,0.2098,0.0558,0.2098,0.0558,15.0,True,0.0941,0.1569,7032411287.0,0.0848,0.0421,0.1427,0.3992,0.0435,-0.0578,0.0595,1,10,661300.0,3589350.89,-2928050.89,True,True,661300.0,sell
US,TBBK,The Bancorp Inc,Financial Services,US-SF,2025-04-07,2025,3,-0.2526,-6.633,29096917.0,0.5043,0.267,0.8676,0.5412,0.0236,True,0.823,0.4676,0.4892,0.2287,1.0,True,0.6355,0.4012,0.3424,0.1953,2.0,0.0528,0.0258,0.0947,0.0575,0.1019,0.0314,0.156,0.0494,0.3379,0.9448,True,54.0,0.3379,54.0,0.5555,75.0,0.5043,63.0,0.5043,63.0,0.5043,63.0,0.5043,63.0,0.5043,63.0,0.5043,63.0,0.3549,0.1841,0.0528,0.0258,0.0947,0.0575,0.1019,0.0314,0.156,0.0494,52.0,True,0.2754,0.1566,1704097588.0,0.1277,0.0861,0.3063,0.3136,0.2014,0.3807,,6,10,759494.33,6749074.58,-5989580.25,True,True,759494.33,sell
