market,ticker,name,sector,exchange,date,year,window_len,raw,z,avg_daily_value,fwd_3m,excess_3m,fwd_6m,excess_6m,momentum_6m,up1_conf,up1_fwd6m,up1_exc6m,up1_fwd3m,up1_exc3m,up1_days,confirmed_conf,confirmed_fwd6m,confirmed_exc6m,confirmed_fwd3m,confirmed_exc3m,confirmed_days,confirmed_fwd15d,confirmed_exc15d,confirmed_fwd21d,confirmed_exc21d,confirmed_fwd30d,confirmed_exc30d,confirmed_fwd42d,confirmed_exc42d,pre_drop_target_ret,mfe,recovered,days_to_recover,r_target,hold_target,r_trail,hold_trail,r_sl5,hold_sl5,r_sl8,hold_sl8,r_sl10,hold_sl10,r_sl12,hold_sl12,r_sl25,hold_sl25,r_sl30,hold_sl30,ce_trail,ce_trail_exc,ce_te15,ce_te15_exc,ce_te21,ce_te21_exc,ce_te30,ce_te30_exc,ce_te42,ce_te42_exc,ce_rec_days,profitable,roe,de,market_cap,earnings_yield,ey_minus_bond,npat_margin,fcf_margin,rev_growth,eps_growth,div_yield,insider_buy_n,insider_sell_n,insider_buy_val,insider_sell_val,insider_net_val,director_buy,director_sell,director_buy_val,insider_signal
US,AR,Antero Resources Corp,Energy,US-SF,2025-04-08,2025,4,-0.2324,-4.573,169867238.0,0.112,-0.1485,0.0592,-0.2962,0.466,True,-0.037,-0.2712,0.0304,-0.1167,1.0,True,-0.037,-0.2712,0.0304,-0.1167,1.0,-0.0069,-0.0339,0.1095,0.0723,0.1192,0.0487,0.1003,-0.0063,0.3027,0.3579,True,47.0,0.3027,47.0,0.1681,57.0,0.112,63.0,0.112,63.0,0.112,63.0,0.112,63.0,0.112,63.0,0.112,63.0,0.0794,-0.0564,-0.0069,-0.0339,0.1095,0.0723,0.1192,0.0487,0.1003,-0.0063,46.0,True,0.0081,0.2121,9989112640.0,0.0057,-0.0369,0.0139,0.1815,0.0248,-0.8243,0.0,0,4,0.0,37215249.1,-37215249.1,False,True,0.0,sell
US,ARDT,"Ardent Health Partners, Inc.",Healthcare,US-SF,2025-11-13,2025,1,-0.3381,-12.53,5510235.0,0.0516,0.0359,0.0903,-0.0085,-0.0357,True,0.0586,-0.0666,0.0816,0.0375,3.0,True,0.011,-0.1094,0.0285,0.0118,8.0,-0.0208,-0.0142,0.0099,-0.0144,-0.0285,-0.0581,-0.0964,-0.1277,0.5108,0.1097,False,,0.0516,63.0,0.0516,63.0,-0.1097,2.0,-0.1097,2.0,-0.1097,2.0,-0.1215,52.0,0.0516,63.0,0.0516,63.0,0.0285,0.0118,-0.0208,-0.0142,0.0099,-0.0144,-0.0285,-0.0581,-0.0964,-0.1277,-1.0,True,0.1859,0.9679,1333155288.0,0.1578,0.1167,0.0353,0.0214,0.1472,0.028,,0,0,0.0,0.0,0.0,False,False,0.0,none
US,AROC,Archrock Inc,Energy,US-SF,2025-04-08,2025,4,-0.2254,-4.087,36337313.0,0.1189,-0.1415,0.2519,-0.1036,0.3601,True,0.0832,-0.151,0.0016,-0.1456,1.0,True,0.0832,-0.151,0.0016,-0.1456,1.0,0.0145,-0.0125,0.0599,0.0227,0.0505,-0.0201,0.0642,-0.0424,0.291,0.2843,False,,0.1189,63.0,0.1189,63.0,0.1189,63.0,0.1189,63.0,0.1189,63.0,0.1189,63.0,0.1189,63.0,0.1189,63.0,0.0016,-0.1456,0.0145,-0.0125,0.0599,0.0227,0.0505,-0.0201,0.0642,-0.0424,-1.0,True,0.1301,1.661,3542264695.0,0.0486,0.006,0.1488,0.061,0.037,0.089,0.0344,0,1,0.0,219262.48,-219262.48,False,True,0.0,sell
US,ARW,Arrow Electronics Inc,Technology,US-SF,2020-03-18,2020,3,-0.2772,-7.137,45097499.0,0.6227,0.3244,0.9513,0.5396,-0.2656,True,0.7831,0.3898,0.4698,0.1768,1.0,True,0.704,0.2638,0.4136,0.0696,2.0,0.2249,0.0268,0.0856,-0.1017,0.3024,0.0691,0.4464,0.1572,0.3836,0.9837,True,15.0,0.3836,15.0,0.3217,19.0,0.6227,63.0,0.6227,63.0,0.6227,63.0,0.6227,63.0,0.6227,63.0,0.6227,63.0,0.1581,-0.0494,0.1581,-0.0494,0.1581,-0.0494,0.1581,-0.0494,0.1581,-0.0494,13.0,False,-0.0424,0.6175,2099559823.0,-0.0972,-0.1402,-0.0071,0.0245,0.049,0.1238,0.0,0,5,0.0,7291121.45,-7291121.45,False,True,0.0,sell
US,AS,"Amer Sports, Inc.",Consumer Cyclical,US-SF,2025-04-08,2025,4,-0.2606,-4.29,98716649.0,0.8188,0.5584,0.6466,0.2912,0.7781,True,0.3449,0.1107,0.5813,0.4341,1.0,True,0.3449,0.1107,0.5813,0.4341,1.0,0.0054,-0.0216,0.119,0.0818,0.5543,0.4837,0.5688,0.4622,0.3524,0.9781,True,23.0,0.3524,23.0,0.7043,91.0,0.8188,63.0,0.8188,63.0,0.8188,63.0,0.8188,63.0,0.8188,63.0,0.8188,63.0,0.4818,0.3068,0.0054,-0.0216,0.119,0.0818,0.4818,0.3068,0.4818,0.3068,22.0,True,0.0145,0.1855,12200807843.0,0.006,-0.0367,0.014,0.0353,0.2065,,,0,0,0.0,0.0,0.0,False,False,0.0,none
US,ASB,Associated Banc-Corp,Financial Services,US-SF,2020-03-09,2020,3,-0.2468,-9.57,17884936.0,0.3263,0.1494,0.103,-0.1447,-0.0646,True,-0.0243,-0.1803,0.2012,0.0884,1.0,True,-0.0225,-0.2548,0.0651,-0.0567,4.0,-0.1705,-0.0885,-0.0672,-0.117,-0.0462,-0.108,-0.1503,-0.1905,0.3277,0.3263,False,,0.3263,63.0,0.3263,63.0,-0.1085,7.0,-0.1085,7.0,-0.1085,7.0,-0.1654,10.0,0.3263,63.0,0.3263,63.0,0.0651,-0.0567,-0.1705,-0.0885,-0.0672,-0.117,-0.0462,-0.108,-0.1503,-0.1905,-1.0,True,0.0833,0.2808,1912539144.0,0.1709,0.1279,0.2116,0.3281,0.0849,0.1063,0.0691,7,18,530300.0,1401824.73,-871524.73,True,True,530300.0,sell
US,ASR,Grupo Aeroportuario del Sureste SAB de CV ADR,Industrials,US-SF,2020-03-17,2020,5,-0.2441,-4.904,6283036.0,0.0768,-0.1586,0.0123,-0.3325,0.0038,True,0.0966,-0.2582,0.2292,-0.0503,5.0,True,0.0966,-0.2582,0.2292,-0.0503,5.0,-0.0159,-0.1532,0.0074,-0.1358,0.1453,-0.0186,0.0416,-0.1661,0.3229,0.2305,False,,0.0768,63.0,0.0768,63.0,-0.1238,1.0,-0.1238,1.0,-0.1238,1.0,-0.1238,1.0,-0.2524,3.0,0.0768,63.0,0.2292,-0.0503,-0.0159,-0.1532,0.0074,-0.1358,0.1453,-0.0186,0.0416,-0.1661,-1.0,True,0.1714,0.4982,2241497960.0,2.2251,2.1821,0.3237,0.3769,0.2312,0.1678,0.0649,0,0,0.0,0.0,0.0,False,False,0.0,none
US,ASX,ASE Industrial Holding Co Ltd ADR,Technology,US-SF,2020-03-18,2020,5,-0.2288,-4.853,2179574.0,0.3472,0.0488,0.2951,-0.1167,-0.031,True,0.2776,-0.1625,0.3088,-0.0351,2.0,True,0.1672,-0.1876,0.2295,-0.0499,4.0,0.153,0.0157,0.1421,-0.0011,0.1721,0.0082,0.1093,-0.0983,0.2967,0.5193,True,29.0,0.2967,29.0,0.2047,43.0,0.3472,63.0,0.3472,63.0,0.3472,63.0,0.3472,63.0,0.3472,63.0,0.3472,63.0,0.1093,-0.0851,0.153,0.0157,0.1421,-0.0011,0.1093,-0.0851,0.1093,-0.0851,25.0,True,0.0777,1.0028,5538616144.0,3.0083,2.9653,0.0408,0.039,0.0945,-0.0803,0.0634,0,0,0.0,0.0,0.0,False,False,0.0,none
US,ATI,Allegheny Technologies Incorporated,Industrials,US-SF,2020-03-09,2020,3,-0.2226,-4.379,30171185.0,-0.1078,-0.2846,-0.3225,-0.5703,-0.1146,True,-0.3397,-0.4957,-0.175,-0.2877,1.0,True,0.2271,-0.0805,0.2654,0.0332,12.0,0.0383,-0.0926,-0.1122,-0.2581,0.0903,-0.0736,0.1792,-0.0293,0.2864,0.0294,False,,-0.1078,63.0,-0.1078,63.0,-0.1266,2.0,-0.1266,2.0,-0.1266,2.0,-0.1266,2.0,-0.3964,5.0,-0.3964,5.0,0.2654,0.0332,0.0383,-0.0926,-0.1122,-0.2581,0.0903,-0.0736,0.1792,-0.0293,-1.0,True,0.1208,0.6693,1810962566.0,0.1394,0.0964,0.0612,0.015,-0.0048,0.1307,0.0,0,0,0.0,0.0,0.0,False,False,0.0,none
US,ATKR,Atkore International Group Inc,Industrials,US-SF,2025-08-05,2025,1,-0.2634,-8.995,32256621.0,0.2485,0.1607,0.2378,0.1452,-0.0514,True,0.1645,0.0931,0.2043,0.1371,1.0,True,0.195,0.1181,0.1554,0.0954,5.0,-0.0015,-0.0019,0.099,0.077,0.0783,0.0485,0.0884,0.0718,0.3575,0.3178,False,,0.2485,63.0,0.2485,63.0,0.2485,63.0,0.2485,63.0,0.2485,63.0,0.2485,63.0,0.2485,63.0,0.2485,63.0,0.1554,0.0954,-0.0015,-0.0019,0.099,0.077,0.0783,0.0485,0.0884,0.0718,-1.0,True,0.3071,0.4967,1866009510.0,0.2534,0.2115,0.1477,0.1247,0.1081,0.3603,0.0233,0,2,0.0,101660.0,-101660.0,False,True,0.0,sell
