market,ticker,name,sector,exchange,date,year,window_len,raw,z,fwd_3m,excess_3m,fwd_6m,excess_6m,momentum_6m,up1_conf,up1_fwd6m,up1_exc6m,up1_fwd3m,up1_exc3m,up1_days,confirmed_conf,confirmed_fwd6m,confirmed_exc6m,confirmed_fwd3m,confirmed_exc3m,confirmed_days,pre_drop_target_ret,mfe,recovered,r_target,hold_target,r_trail,hold_trail,r_sl5,hold_sl5,r_sl8,hold_sl8,r_sl10,hold_sl10,r_sl12,hold_sl12,r_sl25,hold_sl25,r_sl30,hold_sl30,ce_trail,ce_trail_exc,ce_te15,ce_te15_exc,ce_te21,ce_te21_exc,ce_te30,ce_te30_exc,ce_te42,ce_te42_exc,ce_rec_days,profitable,roe,de,earnings_yield,ey_minus_bond,npat_margin,fcf_margin,rev_growth,eps_growth,div_yield,days_to_recover
TSX,HEXO,Hexo Corp,Healthcare,TSX-SF,2020-10-30,2020,1,-0.1474,-4.222,1.4846,1.349,1.5093,1.2761,0.338,True,1.4441,1.2217,1.6618,1.523,1.0,True,1.35,1.1552,1.6184,1.5057,4.0,0.1728,3.0278,True,0.1728,4,0.2963,6,1.4846,63,1.4846,63,1.4846,63,1.4846,63,1.4846,63,1.4846,63,0.1053,0.0944,0.1053,0.0944,0.1053,0.0944,0.1053,0.0944,0.1053,0.0944,1.0,False,-0.9877,0.1065,-0.2738,-0.3168,-6.7648,-2.5308,1.1233,,,4.0
TSX,HEXO,Hexo Corp,Healthcare,TSX-SF,2021-02-11,2021,1,-0.2506,-3.814,-0.274,-0.3144,-0.5481,-0.6636,2.4342,True,-0.6233,-0.7244,-0.3689,-0.422,2.0,True,-0.6233,-0.7244,-0.3689,-0.422,2.0,0.3344,0.1779,False,-0.274,63,-0.274,63,-0.0818,9,-0.0818,9,-0.1534,14,-0.1534,14,-0.2577,42,-0.3282,46,-0.3689,-0.422,-0.237,-0.2427,-0.1615,-0.188,-0.2899,-0.3015,-0.401,-0.4475,-1.0,False,-0.9877,0.1065,-0.0907,-0.1337,-6.7648,-2.5308,1.1233,,,
TSX,HEXO,Hexo Corp,Healthcare,TSX-SF,2021-08-20,2021,1,-0.278,-7.335,-0.4527,-0.5125,-0.7635,-0.7915,-0.5821,True,-0.7932,-0.8062,-0.5309,-0.5769,1.0,True,-0.7785,-0.7889,-0.56,-0.6041,2.0,0.3851,0.098,False,-0.4527,63,-0.4527,63,-0.0777,14,-0.1149,16,-0.1149,16,-0.1284,18,-0.2669,30,-0.3074,45,-0.56,-0.6041,-0.1846,-0.1917,-0.2431,-0.2389,-0.3354,-0.3181,-0.3538,-0.3897,-1.0,False,-0.1571,0.6222,-0.0629,-0.1059,-0.9272,-0.6093,1.3444,,,
TSX,HEXO,Hexo Corp,Healthcare,TSX-SF,2021-10-29,2021,1,-0.1176,-2.614,-0.6,-0.6029,-0.7111,-0.6947,-0.7481,True,-0.7343,-0.7075,-0.5714,-0.5634,3.0,True,-0.7343,-0.7075,-0.5714,-0.5634,3.0,0.1333,0.2389,True,0.1333,9,0.1333,12,-0.1056,2,-0.1056,2,-0.1056,2,-0.1556,16,-0.2889,23,-0.3278,25,0.1657,0.1445,0.1657,0.1445,0.1657,0.1445,0.1657,0.1445,0.1657,0.1445,6.0,False,-0.1571,0.6222,-0.1035,-0.1465,-0.9272,-0.6093,1.3444,,,9.0
TSX,HEXO,Hexo Corp,Healthcare,TSX-SF,2021-12-29,2021,1,-0.1509,-2.59,-0.1222,-0.1565,-0.7111,-0.6049,-0.8522,True,-0.6923,-0.5792,-0.1538,-0.1938,3.0,False,,,,,,0.1778,0.0333,False,-0.1222,63,-0.1222,63,-0.0556,4,-0.0889,9,-0.1444,10,-0.1444,10,-0.2667,16,-0.3111,19,,,,,,,,,,,,False,-0.1571,0.6222,-0.207,-0.25,-0.9272,-0.6093,1.3444,,,
TSX,HNL,Dexterra Group Inc,Industrials,TSX-SF,2011-08-08,2011,4,-0.2058,-4.682,0.0518,-0.0165,-0.0129,-0.0854,0.1919,True,0.0497,0.0187,0.0544,0.0328,2.0,True,0.0125,0.0109,0.0316,0.0356,3.0,0.2591,0.1313,False,0.0518,63,0.0518,63,-0.0514,25,0.0518,63,0.0518,63,0.0518,63,0.0518,63,0.0518,63,0.0316,0.0356,0.0478,0.0349,-0.0546,-0.0424,-0.0516,0.0263,-0.0526,0.0233,-1.0,True,0.1442,0.5367,0.0145,-0.0285,0.0766,0.3887,,,0.0044,
TSX,HNL,Dexterra Group Inc,Industrials,TSX-SF,2011-11-25,2011,2,-0.1555,-3.599,0.3807,0.27,0.1637,0.1537,-0.1254,True,0.098,0.1043,0.3665,0.2732,1.0,True,0.0055,0.0702,0.2383,0.1951,6.0,0.1842,0.4515,True,0.1842,49,0.2757,87,0.3807,63,0.3807,63,0.3807,63,0.3807,63,0.3807,63,0.3807,63,0.1644,0.1401,-0.016,-0.0001,-0.017,-0.0259,0.0394,0.03,0.0449,0.0091,43.0,True,0.1442,0.5367,0.0166,-0.0264,0.0766,0.3887,,,0.0102,49.0
TSX,HNL,Dexterra Group Inc,Industrials,TSX-SF,2018-03-02,2018,2,-0.1108,-2.82,0.4294,0.3815,0.3259,0.2688,0.8327,True,0.2737,0.2272,0.3622,0.3209,1.0,True,0.1327,0.1135,0.2256,0.187,10.0,0.1246,0.5233,True,0.1246,10,0.3744,111,0.4294,63,0.4294,63,0.4294,63,0.4294,63,0.4294,63,0.4294,63,0.1928,0.1536,0.1928,0.1536,0.1928,0.1536,0.1928,0.1536,0.1928,0.1536,1.0,False,-0.0257,0.4839,-0.0004,-0.0434,-0.0242,0.0936,-0.1256,,0.0014,10.0
TSX,HNL,Dexterra Group Inc,Industrials,TSX-SF,2018-08-15,2018,1,-0.1432,-6.661,0.0779,0.1408,-0.1875,-0.1683,0.5222,True,-0.2466,-0.2228,-0.0391,0.0283,1.0,True,-0.2953,-0.2748,-0.1632,-0.0732,5.0,0.1672,0.1943,True,0.1672,35,0.0809,38,-0.0535,42,0.0779,63,0.0779,63,0.0779,63,0.0779,63,0.0779,63,0.02,0.0502,0.0563,0.0746,0.0817,0.0898,0.02,0.0502,0.02,0.0502,30.0,False,-0.0257,0.4839,-0.0004,-0.0434,-0.0242,0.0936,-0.1256,,0.0012,35.0
TSX,HNL,Dexterra Group Inc,Industrials,TSX-SF,2018-10-10,2018,4,-0.1475,-2.946,-0.3619,-0.3269,-0.2251,-0.282,0.0449,True,-0.063,-0.1249,-0.2473,-0.2296,4.0,True,-0.1707,-0.2405,-0.3109,-0.2996,5.0,0.173,0.1085,False,-0.3619,63,-0.3619,63,-0.0704,3,-0.129,29,-0.129,29,-0.129,29,-0.2581,44,-0.3475,47,-0.3109,-0.2996,0.049,0.0593,-0.0259,-0.0011,-0.1729,-0.1498,-0.3588,-0.2986,-1.0,False,-0.0257,0.4839,-0.0004,-0.0434,-0.0242,0.0936,-0.1256,,0.0012,
