market,ticker,name,sector,entry_date,entry_price,sell_due_date,status,last_price,ret_pct,days_held,exit_date,exit_price
US,IBM,IBM,Information Technology,2026-07-14,212.67,2026-10-14,OPEN,212.67,0.0,5,,
US,PNR,Pentair,Industrials,2026-07-15,62.45,2026-10-15,OPEN,62.45,0.0,4,,
